"OBJECTID","Reference","Sampling_Date","Gear","ExDate","Bluefish","Common.Snook","Mullets","Pinfish","Red.Drum","Sand.Seatrout"
2719902,"TBM2014071105","2014-07-23 20:00:00",20,"2018-04-12 07:03:48",0,0,0,10,0,0
2719906,"TBM2014071108","2014-07-23 20:00:00",300,"2018-04-12 07:03:48",0,0,0,0,0,1
2719990,"TBM2014080106","2014-08-05 20:00:00",160,"2018-04-12 07:03:48",0,0,0,1596,0,0
2720105,"TBM2014120801","2014-12-10 19:00:00",160,"2018-04-12 07:04:40",0,0,0,0,1,0
2720405,"TBM2014090805","2014-09-14 20:00:00",160,"2018-04-12 07:03:58",0,3,0,0,0,0
2720407,"TBM2014090807","2014-09-14 20:00:00",160,"2018-04-12 07:03:58",0,0,0,598,0,0
2720526,"TBM2013101206","2013-10-15 20:00:00",160,"2018-04-12 07:01:26",0,0,0,0,1,0
2720720,"TBM2015031206","2015-03-10 20:00:00",20,"2018-04-12 07:04:47",0,0,0,1,0,0
2720765,"TBM2015040305","2015-04-07 20:00:00",160,"2018-04-12 07:04:47",0,6,0,0,0,0
2720811,"TBM2015041004","2015-04-14 20:00:00",20,"2018-04-12 07:04:54",0,0,0,23,0,0
2720814,"TBM2015041103","2015-04-15 20:00:00",160,"2018-04-12 07:04:54",0,1,0,0,0,0
2720816,"TBM2015041105","2015-04-15 20:00:00",160,"2018-04-12 07:04:54",0,2,0,0,0,0
2720817,"TBM2015041105","2015-04-15 20:00:00",160,"2018-04-12 07:04:54",0,0,0,22,0,0
2721282,"TBM2014030904","2014-03-23 20:00:00",20,"2018-04-12 07:02:03",0,0,0,251,0,0
2721592,"TBM2014101102","2014-10-21 20:00:00",300,"2018-04-12 07:04:01",0,0,0,1,0,0
2721984,"TBM2014040110","2014-03-31 20:00:00",20,"2018-04-12 07:03:42",0,0,0,919,0,0
2722026,"TBM2014040907","2014-04-02 20:00:00",20,"2018-04-12 07:03:42",0,0,0,1,0,0
2722471,"TBM2014061104","2014-06-15 20:00:00",160,"2018-04-12 07:03:42",0,3,0,0,0,0
2722803,"TBM2014071203","2014-07-16 20:00:00",160,"2018-04-12 07:03:42",0,10,0,0,0,0
2722805,"TBM2014071204","2014-07-16 20:00:00",20,"2018-04-12 07:03:42",0,0,0,12,0,0
2723103,"TBM2014050807","2014-05-14 20:00:00",160,"2018-04-12 07:03:33",0,0,0,0,5,0
2723128,"TBM2014051303","2014-05-12 20:00:00",160,"2018-04-12 07:03:45",0,0,0,0,1,0
2723153,"TBM2014080904","2014-08-17 20:00:00",20,"2018-04-12 07:03:43",0,0,0,6,0,0
2723321,"TBM2014091407","2014-09-04 20:00:00",20,"2018-04-12 07:03:55",0,0,0,1,0,0
2723670,"TBM2014040905","2014-04-02 20:00:00",300,"2018-04-12 07:02:05",0,0,0,29,0,0
