OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,ExDate,Bluefish,Common Snook,Mullets,Pinfish,Red Drum,Sand Seatrout
2647745,TBD2001100201,2001-10-26T00:00:00Z,27.988367,-82.615783,251,2018-04-12T10:46:11Z,0,1,0,0,0,0
2647771,TBD2002100201,2002-10-17T00:00:00Z,27.98325,-82.607267,251,2018-04-12T10:46:11Z,0,0,0,0,1,0
2647988,TBM2009101103,2009-10-06T00:00:00Z,27.962533,-82.682983,20,2018-04-12T10:45:15Z,0,0,0,0,14,0
2648115,TBM2009090104,2009-09-01T00:00:00Z,27.995166,-82.682466,160,2018-04-12T10:45:13Z,0,0,0,0,2,0
2648147,TBM2009090708,2009-09-03T00:00:00Z,27.863283,-82.54395,160,2018-04-12T10:45:13Z,0,0,0,0,2,0
2648235,TBM2009100103,2009-10-01T00:00:00Z,27.91585,-82.681433,160,2018-04-12T10:45:17Z,0,0,0,10,0,0
2648243,TBM2009100301,2009-10-05T00:00:00Z,27.88255,-82.619266,160,2018-04-12T10:45:17Z,0,0,0,0,1,0
2648304,TBD2011030202,2011-03-22T00:00:00Z,28.0018,-82.632033,251,2018-04-12T10:51:02Z,0,0,0,0,2,0
2648424,TBM2009090101,2009-09-01T00:00:00Z,28.010483,-82.64515,20,2018-04-12T10:45:14Z,0,0,0,4,0,0
2648427,TBM2009090103,2009-09-01T00:00:00Z,28.00885,-82.654416,160,2018-04-12T10:45:14Z,0,0,0,140,0,0
